Diện tích,Phòng ngủ,Số tầng,Số toilet,Số phòng khách,Loại địa ốc,Địa chỉ,Pháp lý,Hướng nhà,Đường trước nhà,Giá nhà,tag
77m2,,,,,Bán nhà riêng,,,,,15 tỷ,da_nang
205m2,5 PN,2 tầng,3.0,1.0,Bán nhà riêng,,Sổ hồng,Tây,10m - 15m,11 tỷ 500 triệu,da_nang
96m2,,,,,Bán nhà riêng,,,,,4 tỷ 750 triệu,da_nang
92m2,,,,,Bán căn hộ chung cư,,,,,1 tỷ 400 triệu,da_nang
105m2,,,,,Bán căn hộ chung cư,,,,,49 triệu,da_nang
742m2,,,,,Bán căn hộ chung cư,,,,,80 triệu /m2,da_nang
83m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
70m2,3 PN,25 tầng,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,,20m - 30m,1 tỷ 500 triệu,da_nang
93m2,,,,,Bán căn hộ chung cư,,,,,6 tỷ,da_nang
100m2,,,,,Bán nhà phố dự án,,,,,99 triệu /m2,da_nang
107.5m2,,,,,Bán nhà riêng,,,,,7 tỷ 200 triệu,da_nang
90m2,,,,,Bán đất thổ cư,,,,,7 tỷ 100 triệu,da_nang
107.5m2,,,,,Bán đất thổ cư,,,,,8 tỷ 650 triệu,da_nang
48m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 600 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,99 triệu /m2,da_nang
50m2,,,,,Bán nhà phố dự án,,,,,3 tỷ 800 triệu,da_nang
316m2,,,,,Bán biệt thự,,,,,8 tỷ 600 triệu,da_nang
50m2,1 PN,,1.0,,Bán căn hộ chung cư,,,,,7 tỷ,da_nang
40m2,1 PN,,1.0,1.0,Bán nhà riêng,,Sổ hồng,Đông,,4 tỷ 300 triệu,da_nang
77m2,3 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông,,6 tỷ,da_nang
70m2,,,,,Bán đất thổ cư,,,,,3 tỷ 550 triệu,da_nang
114m2,,,,,Bán đất thổ cư,,,,,5 tỷ 950 triệu,da_nang
83m2,2 PN,4 tầng,2.0,3.0,Bán căn hộ chung cư,,Sổ hồng,Đông Bắc,10m - 15m,1 tỷ 200 triệu,da_nang
248m2,,,,,Bán đất thổ cư,,,,,15 tỷ 800 triệu,da_nang
166m2,,,,,Bán đất thổ cư,,,,,6 tỷ 980 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,8 tỷ 600 triệu,da_nang
54m2,,,,,Bán nhà riêng,,,,,9 tỷ 390 triệu,da_nang
45m2,1 PN,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
80m2,,,,,Bán nhà riêng,,,,,3 tỷ 680 triệu,da_nang
45m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
65m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
202m2,4 PN,2 tầng,,1.0,Bán nhà riêng,,Sổ hồng,,30m - 50m,27 tỷ,da_nang
45m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
74m2,2 PN,,2.0,,Bán căn hộ chung cư,,,,,9 tỷ,da_nang
120m2,,,,,Bán nhà phố dự án,,,,,100 triệu/m2,da_nang
125m2,,,,,Bán nhà riêng,,,,,6 tỷ 990 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,,,,7 tỷ 650 triệu,da_nang
68m2,,,,,Bán căn hộ chung cư,,,,,900 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,,,,2 tỷ 100 triệu,da_nang
92m2,,,,,Bán căn hộ chung cư,,,,,1 tỷ 400 triệu,da_nang
105m2,,,,,Bán căn hộ chung cư,,,,,49 triệu,da_nang
742m2,,,,,Bán căn hộ chung cư,,,,,80 triệu /m2,da_nang
83m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
70m2,3 PN,25 tầng,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,,20m - 30m,1 tỷ 500 triệu,da_nang
93m2,,,,,Bán căn hộ chung cư,,,,,6 tỷ,da_nang
100m2,,,,,Bán nhà phố dự án,,,,,99 triệu /m2,da_nang
107.5m2,,,,,Bán nhà riêng,,,,,7 tỷ 200 triệu,da_nang
93.6m2,,,,,Bán đất thổ cư,,,,,7 tỷ 950 triệu,da_nang
90m2,,,,,Bán đất thổ cư,,,,,7 tỷ 100 triệu,da_nang
109m2,,,,,Bán đất thổ cư,,,,,2 tỷ 700 triệu,da_nang
107.5m2,,,,,Bán đất thổ cư,,,,,8 tỷ 650 triệu,da_nang
66m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ 800 triệu,da_nang
48m2,,,,,Bán căn hộ chung cư,,,,,3 tỷ 600 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,99 triệu /m2,da_nang
50m2,,,,,Bán nhà phố dự án,,,,,3 tỷ 800 triệu,da_nang
316m2,,,,,Bán biệt thự,,,,,8 tỷ 600 triệu,da_nang
100m2,3 PN,40 tầng,3.0,,Bán căn hộ chung cư,,Sổ hồng,Đông,,9 tỷ 500 triệu,da_nang
50m2,1 PN,,1.0,,Bán căn hộ chung cư,,,,,7 tỷ,da_nang
40m2,1 PN,,1.0,1.0,Bán nhà riêng,,Sổ hồng,Đông,,4 tỷ 300 triệu,da_nang
77m2,3 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông,,6 tỷ,da_nang
70m2,,,,,Bán đất thổ cư,,,,,3 tỷ 550 triệu,da_nang
114m2,,,,,Bán đất thổ cư,,,,,5 tỷ 950 triệu,da_nang
83m2,2 PN,4 tầng,2.0,3.0,Bán căn hộ chung cư,,Sổ hồng,Đông Bắc,10m - 15m,1 tỷ 200 triệu,da_nang
248m2,,,,,Bán đất thổ cư,,,,,15 tỷ 800 triệu,da_nang
166m2,,,,,Bán đất thổ cư,,,,,6 tỷ 980 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,8 tỷ 600 triệu,da_nang
54m2,,,,,Bán nhà riêng,,,,,9 tỷ 390 triệu,da_nang
45m2,1 PN,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
80m2,,,,,Bán nhà riêng,,,,,3 tỷ 680 triệu,da_nang
45m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
65m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
202m2,4 PN,2 tầng,,1.0,Bán nhà riêng,,Sổ hồng,,30m - 50m,27 tỷ,da_nang
137m2,,,,,Bán nhà riêng,,,,,10 tỷ 200 triệu,da_nang
45m2,,,,,Bán căn hộ chung cư,,,,,4 tỷ,da_nang
74m2,2 PN,,2.0,,Bán căn hộ chung cư,,,,,9 tỷ,da_nang
120m2,,,,,Bán nhà phố dự án,,,,,100 triệu/m2,da_nang
125m2,,,,,Bán nhà riêng,,,,,6 tỷ 990 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,,,,7 tỷ 650 triệu,da_nang
250m2,,,,,Bán nhà riêng,,,,,17 tỷ,da_nang
68m2,,,,,Bán căn hộ chung cư,,,,,900 triệu,da_nang
100m2,,,,,Bán đất thổ cư,,,,,2 tỷ 100 triệu,da_nang
100m2,3 PN,1 tầng,2.0,1.0,Bán nhà riêng,,,,,7 tỷ 400 triệu,da_nang
90m2,,,,,Bán căn hộ chung cư,,,,,12 tỷ,da_nang
152m2,,,,,Bán đất thổ cư,,,,,10 tỷ 700 triệu,da_nang
200m2,,,,,Bán biệt thự,,,,,21 tỷ,da_nang
100m2,,,,,Bán nhà riêng,,,,,5 tỷ 800 triệu,da_nang
427m2,,,,,Bán nhà phố dự án,,,,,22 tỷ,da_nang
105m2,5 PN,10 tầng,5.0,3.0,Bán nhà riêng,,Sổ hồng,Đông Nam,10m - 15m,48 triệu,da_nang
70m2,,,,,Bán nhà riêng,,,,,3 tỷ 800 triệu,da_nang
80m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ,da_nang
79m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,,,,900 triệu,da_nang
75m2,4 PN,1 tầng,2.0,1.0,Bán nhà riêng,,Sổ hồng,,4m,6 tỷ,da_nang
31.6m2,,,,,Bán căn hộ chung cư,,,,,2 tỷ 663 triệu,da_nang
126m2,,,,,Bán đất thổ cư,,,,,2 tỷ 300 triệu,da_nang
81m2,2 PN,,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Đông Nam,,60 triệu /m2,da_nang
85m2,3 PN,2 tầng,3.0,1.0,Bán nhà riêng,,Sổ hồng,,5m,7 tỷ 250 triệu,da_nang
130m2,,,,,Bán đất thổ cư,,,,,780 triệu,da_nang
75m2,,,,,Bán đất thổ cư,,,,,2 tỷ 620 triệu,da_nang
77m2,2 PN,20 tầng,2.0,2.0,Bán căn hộ chung cư,,Sổ hồng,Bắc,,5 tỷ 175 triệu,da_nang
63m2,2 PN,4 tầng,2.0,4.0,Bán nhà riêng,,Sổ hồng,Đông Nam,10m - 15m,3 tỷ 700 triệu,da_nang
75m2,2 PN,20 tầng,2.0,1.0,Bán căn hộ chung cư,,Sổ hồng,Bắc,,5 tỷ 106 triệu,da_nang
130m2,,,,,Bán nhà riêng,,,,,6 tỷ,da_nang
61m2,,,,,Bán nhà riêng,,,,,4 tỷ 350 triệu,da_nang
109m2,,,,,"Bán căn hộ Mini, Dịch vụ",,,,,24 tỷ 500 triệu,da_nang
100m2,,,,,Bán nhà riêng,,,,,8 tỷ 100 triệu,da_nang
76m2,5 PN,2 tầng,3.0,1.0,Bán nhà riêng,,Sổ hồng,Tây Bắc,10m,11 tỷ 500 triệu,da_nang
97m2,,,,,Bán nhà riêng,,,,,15 tỷ 450 triệu,da_nang
370m2,,,,,Bán đất thổ cư,,Sổ hồng,Đông Bắc,6m,4 tỷ 300 triệu,da_nang
105m2,35 PN,45 tầng,30.0,2.0,Bán nhà riêng,,Sổ hồng,,10m,"48,9 triệu",da_nang
114m2,,,,,Bán căn hộ chung cư,,,,,5 tỷ 300 triệu,da_nang
105m2,5 PN,26 tầng,4.0,2.0,Bán nhà riêng,,Sổ hồng,Đông Nam,10m - 15m,64 triệu /m2,da_nang
