cleaned_area,cleaned_road,bed,bath,floor,is_land,tag,Loại địa ốc,Pháp lý,cleaned_price
77.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15000.0
205.0,12.5,5.0,3.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,11500.0
96.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,4750.0
92.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,1400.0
105.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5145.0
83.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
70.0,25.0,3.0,2.0,25.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1500.0
93.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,6000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,9900.0
107.5,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7200.0
90.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,7100.0
107.5,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,8650.0
48.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3600.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9900.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,3800.0
316.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,8600.0
50.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,,7000.0
40.0,12.5,1.0,1.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,4300.0
77.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,6000.0
70.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,3550.0
114.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,5950.0
83.0,12.5,2.0,2.0,4.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1200.0
248.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,15800.0
166.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,6980.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8600.0
54.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9390.0
45.0,12.5,1.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3680.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
65.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
202.0,40.0,4.0,2.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,27000.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
74.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,9000.0
120.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,12000.0
125.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6990.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,7650.0
68.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,900.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2100.0
92.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,1400.0
105.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5145.0
83.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
70.0,25.0,3.0,2.0,25.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1500.0
93.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,6000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,9900.0
107.5,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7200.0
93.6,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,7950.0
90.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,7100.0
109.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2700.0
107.5,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,8650.0
66.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4800.0
48.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3600.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9900.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,3800.0
316.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,8600.0
100.0,12.5,3.0,3.0,40.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,9500.0
50.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,,7000.0
40.0,12.5,1.0,1.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,4300.0
77.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,6000.0
70.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,3550.0
114.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,5950.0
83.0,12.5,2.0,2.0,4.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1200.0
248.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,15800.0
166.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,6980.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8600.0
54.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9390.0
45.0,12.5,1.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3680.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
65.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
202.0,40.0,4.0,2.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,27000.0
137.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,10200.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4000.0
74.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,9000.0
120.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,12000.0
125.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6990.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,7650.0
250.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,17000.0
68.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,900.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2100.0
100.0,12.5,3.0,2.0,1.0,0,da_nang,bán nhà riêng,,7400.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,12000.0
152.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,10700.0
200.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,21000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,5800.0
427.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,22000.0
105.0,12.5,5.0,5.0,10.0,0,da_nang,bán nhà riêng,Sổ hồng,5040.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3800.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
79.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,900.0
75.0,4.0,4.0,2.0,1.0,0,da_nang,bán nhà riêng,Sổ hồng,6000.0
126.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2300.0
81.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4860.0
85.0,5.0,3.0,3.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,7250.0
130.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,780.0
75.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2620.0
77.0,12.5,2.0,2.0,20.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5175.0
63.0,12.5,2.0,2.0,4.0,0,da_nang,bán nhà riêng,Sổ hồng,3700.0
75.0,12.5,2.0,2.0,20.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5106.0
130.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6000.0
61.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,4350.0
109.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,24500.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8100.0
76.0,10.0,5.0,3.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,11500.0
97.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15450.0
370.0,6.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Sổ hồng,4300.0
105.0,10.0,35.0,30.0,45.0,0,da_nang,bán nhà riêng,Sổ hồng,5134.5
114.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5300.0
105.0,12.5,5.0,4.0,26.0,0,da_nang,bán nhà riêng,Sổ hồng,6720.0
81.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6700.0
80.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5400.0
105.0,40.0,3.0,2.0,31.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5250.0
142.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,26600.0
90.0,8.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Sổ hồng,4550.0
660.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2390.0
180.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,16900.0
105.0,12.5,3.0,2.0,12.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3500.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7000.0
59.0,3.0,3.0,2.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,3850.0
76.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6000.0
400.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,14000.0
300.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15900.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,12000.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,20000.0
131.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,32900.0
159.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7900.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7000.0
60.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,6090.0
120.0,10.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Giấy tờ hợp lệ,14000.0
150.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,2475.0
81.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4779.0
105.0,12.5,3.0,3.0,26.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3500.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,2900.0
125.0,8.0,3.0,3.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,11500.0
69.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4850.0
120.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,16900.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,7200.0
144.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,19800.0
75.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8800.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,10800.0
105.0,12.5,3.0,3.0,24.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3600.0
67.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,24000.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,17000.0
169.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,12500.0
60.0,5.0,3.0,1.0,2.0,0,da_nang,bán nhà riêng,Giấy đỏ,9000.0
100.0,17.5,3.0,4.0,31.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1600.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,23500.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,25800.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8500.0
82.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,17500.0
49.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,4900.0
